date,compound,negative,neutral,positive
2018-05-19 00:00:00,0.03204347826086956,0.012543478260869568,0.9620000000000001,0.02545652173913044
2018-05-19 01:00:00,0.05057317073170732,0.013634146341463416,0.9551219512195123,0.03129268292682927
2018-05-19 02:00:00,0.09632857142857143,0.012452380952380953,0.946190476190476,0.041357142857142856
2018-05-19 03:00:00,0.1195225,0.007999999999999998,0.935675,0.056325
2018-05-19 04:00:00,0.08387714285714286,0.006857142857142857,0.9500857142857143,0.04308571428571428
2018-05-19 05:00:00,0.030343902439024385,0.014829268292682926,0.9577560975609756,0.027414634146341467
2018-05-19 06:00:00,0.049400000000000006,0.009275,0.96275,0.027975
2018-05-19 07:00:00,0.055975,0.010199999999999999,0.9530999999999998,0.0367
2018-05-19 08:00:00,-3.7142857142854636e-05,0.023257142857142855,0.9510571428571426,0.025685714285714284
2018-05-19 09:00:00,0.04386829268292683,0.012609756097560973,0.9588536585365854,0.028536585365853656
2018-05-19 10:00:00,0.04921081081081081,0.015054054054054055,0.9524054054054055,0.03256756756756757
2018-05-19 11:00:00,0.05407605633802816,0.011887323943661971,0.962943661971831,0.02516901408450704
2018-05-19 12:00:00,0.022635897435897435,0.012897435897435897,0.9611153846153846,0.025987179487179483
2018-05-19 13:00:00,0.036807999999999994,0.012280000000000003,0.9611399999999999,0.02658
2018-05-19 14:00:00,0.044271794871794876,0.02307692307692308,0.9436923076923077,0.03325641025641026
2018-05-19 15:00:00,0.0495,0.009785714285714283,0.9615952380952381,0.028619047619047617
2018-05-19 16:00:00,0.06477931034482759,0.011362068965517242,0.9525344827586205,0.036086206896551724
2018-05-19 17:00:00,0.10502592592592591,0.0057777777777777775,0.9386666666666668,0.055555555555555566
2018-05-19 18:00:00,0.02266410256410257,0.024820512820512824,0.9386666666666668,0.03656410256410257
2018-05-19 19:00:00,0.04151162790697674,0.006837209302325581,0.9684418604651163,0.024720930232558138
2018-05-19 20:00:00,0.04028,0.015746666666666666,0.9532133333333331,0.031040000000000005
2018-05-19 21:00:00,0.04793000000000001,0.010574999999999998,0.9640500000000001,0.025375
2018-05-19 22:00:00,0.10375454545454545,0.0063409090909090915,0.9536590909090908,0.04
2018-05-19 23:00:00,0.012596551724137931,0.02268965517241379,0.9380689655172414,0.039241379310344826
2018-05-20 00:00:00,0.07221290322580647,0.01464516129032258,0.939774193548387,0.04558064516129033
2018-05-20 01:00:00,0.08192439024390244,0.006317073170731708,0.9591707317073173,0.03451219512195122
2018-05-20 02:00:00,0.11032250000000002,0.013549999999999998,0.94065,0.045799999999999993
2018-05-20 03:00:00,0.07188823529411767,0.010294117647058823,0.9487058823529412,0.040999999999999995
2018-05-20 04:00:00,0.07626666666666666,0.007138888888888889,0.9545833333333332,0.03827777777777777
2018-05-20 05:00:00,0.05040000000000001,0.010046511627906976,0.9606744186046513,0.029279069767441858
2018-05-20 06:00:00,0.07660285714285715,0.012685714285714286,0.9438000000000001,0.04354285714285715
2018-05-20 07:00:00,0.058588235294117635,0.012941176470588235,0.9540392156862744,0.03303921568627451
2018-05-20 08:00:00,0.053974999999999995,0.014222222222222223,0.9547500000000001,0.03105555555555555
2018-05-20 09:00:00,0.004210526315789472,0.014289473684210527,0.9628947368421054,0.022842105263157896
2018-05-20 10:00:00,0.08914166666666667,0.01152777777777778,0.9490277777777778,0.03944444444444445
2018-05-20 11:00:00,0.04961290322580646,0.013419354838709676,0.9490645161290321,0.037548387096774195
2018-05-20 12:00:00,0.042998571428571435,0.009457142857142857,0.9585,0.03205714285714286
2018-05-20 13:00:00,0.028690140845070423,0.00747887323943662,0.9722535211267606,0.020267605633802813
2018-05-20 14:00:00,0.034458333333333334,0.020194444444444445,0.9411388888888889,0.038666666666666676
2018-05-20 15:00:00,0.06746122448979593,0.021326530612244897,0.9324693877551019,0.04620408163265306
2018-05-20 16:00:00,0.04770263157894736,0.018315789473684212,0.9436842105263158,0.03800000000000001
2018-05-20 17:00:00,0.07771951219512194,0.013829268292682925,0.9390975609756096,0.04702439024390244
2018-05-20 18:00:00,0.10084666666666667,0.010422222222222222,0.9475333333333334,0.042044444444444454
2018-05-20 19:00:00,0.026514035087719295,0.009859649122807018,0.9697894736842105,0.02035087719298246
2018-05-20 20:00:00,0.049122222222222234,0.016574074074074078,0.9487222222222222,0.0347037037037037
2018-05-20 21:00:00,0.048528571428571435,0.0067142857142857134,0.963857142857143,0.02942857142857143
2018-05-20 22:00:00,0.11553137254901959,0.00884313725490196,0.9440196078431372,0.04713725490196077
2018-05-20 23:00:00,0.03214722222222222,0.013666666666666666,0.9612499999999999,0.025083333333333336
2018-05-21 00:00:00,0.07840333333333335,0.007433333333333333,0.9484333333333335,0.04413333333333334
2018-05-21 01:00:00,0.0476,0.01218421052631579,0.9504736842105264,0.0373421052631579
2018-05-21 02:00:00,0.08563265306122449,0.012877551020408164,0.9447551020408164,0.04236734693877551
2018-05-21 03:00:00,0.05579024390243902,0.01329268292682927,0.946731707317073,0.03997560975609756
2018-05-21 04:00:00,0.07722439024390244,0.011951219512195122,0.9448048780487805,0.04324390243902439
2018-05-21 05:00:00,0.09289433962264153,0.012584905660377359,0.9401509433962263,0.04724528301886793
2018-05-21 06:00:00,0.10630263157894737,0.013789473684210527,0.9381842105263158,0.048026315789473695
2018-05-21 07:00:00,0.03921521739130435,0.018630434782608694,0.9520434782608695,0.029326086956521745
2018-05-21 08:00:00,0.045700000000000005,0.01465625,0.9580937500000001,0.027250000000000003
2018-05-21 09:00:00,0.07942325581395349,0.01702325581395349,0.9376976744186046,0.045279069767441865
